source_id,node_id,parent_id,order,node_type,level,pdf_page,marker_text,marker_occurrence,display_title,include_status,notes,extraction_mode
SRC001,SRC001-S01,,1,section,1,2,指南制订流程和方法,1,指南制订流程和方法,excluded,,exclude
SRC001,SRC001-S01-SS01,SRC001-S01,2,subsection,2,2,一、指南发起机构与专家组成员,1,一、指南发起机构与专家组成员,excluded,,exclude
SRC001,SRC001-S01-SS02,SRC001-S01,3,subsection,2,2,二、指南使用者与应用的目标人群,1,二、指南使用者与应用的目标人群,excluded,,exclude
SRC001,SRC001-S01-SS03,SRC001-S01,4,subsection,2,2,三、证据的检索,1,三、证据的检索,excluded,,exclude
SRC001,SRC001-S01-SS04,SRC001-S01,5,subsection,2,2,四、证据的评价与分级,1,四、证据的评价与分级,excluded,本节的内容位于表1,exclude
SRC001,SRC001-S02,,6,section,1,2,概述,1,概述,included,,auto_text
SRC001,SRC001-S03,,7,section,1,3,分类与流行病学,1,分类与流行病学,included,,auto_text
SRC001,SRC001-S04,,8,section,1,3,发病机制,1,发病机制,included,,auto_text
SRC001,SRC001-S04-SS01,SRC001-S04,9,subsection,2,3,1. 衰老,1,1. 衰老,included,,auto_text
SRC001,SRC001-S04-SS02,SRC001-S04,10,subsection,2,3,2. 肥胖,1,2. 肥胖,included,,auto_text
SRC001,SRC001-S04-SS03,SRC001-S04,11,subsection,2,3,3. 炎症反应炎症反应,1,3. 炎症反应炎症反应,included,,auto_text
SRC001,SRC001-S04-SS04,SRC001-S04,12,subsection,2,3,4. 其他机制,1,4. 其他机制,included,,auto_text
SRC001,SRC001-S05,,13,section,1,4,临床表现,1,临床表现,included,本节的内容位于表2,manual_table
SRC001,SRC001-S06,,14,section,1,4,诊断标准,1,诊断标准,included,本节的内容位于表3,manual_table
SRC001,SRC001-S07,,15,section,1,4,诊疗流程、阶梯化治疗与临床分期,1,诊疗流程、阶梯化治疗与临床分期,included,本节的内容位于表4,manual_table
SRC001,SRC001-S08,,16,section,1,4,治疗,3,治疗,included,,auto_text
SRC001,SRC001-S08-SS01,SRC001-S08,17,subsection,2,4,一、治疗原则,1,一、治疗原则,included,,auto_text
SRC001,SRC001-S08-SS01-T01,SRC001-S08-SS01,18,subsection,3,4,1. 临床前期,1,1. 临床前期,included,,auto_text
SRC001,SRC001-S08-SS01-T02,SRC001-S08-SS01,19,subsection,3,4,2. 早期或轻度阶段,1,2. 早期或轻度阶段,included,,auto_text
SRC001,SRC001-S08-SS01-T03,SRC001-S08-SS01,20,subsection,3,4,3. 中度阶段,1,3. 中度阶段,included,,auto_text
SRC001,SRC001-S08-SS01-T04,SRC001-S08-SS01,21,subsection,3,5,4. 重度阶段,1,4. 重度阶段,included,,auto_text
SRC001,SRC001-S08-SS02,SRC001-S08,22,subsection,2,5,二、药物治疗,1,二、药物治疗,included,,auto_text
SRC001,SRC001-S08-SS02-T01,SRC001-S08-SS02,23,subsection,3,5,1. 局部外用药物,1,1. 局部外用药物,included,本节的内容包括表5,hybrid
SRC001,SRC001-S08-SS02-T02,SRC001-S08-SS02,24,subsection,3,5,2. 全身作用药物,1,2. 全身作用药物,included,本节的内容包括表6,hybrid
SRC001,SRC001-S08-SS03,SRC001-S08,25,subsection,2,5,三、物理治疗,1,三、物理治疗,included,本节的内容包括表7,hybrid
SRC001,SRC001-S08-SS04,SRC001-S08,26,subsection,2,6,四、注射治疗,1,四、注射治疗,included,,auto_text
SRC001,SRC001-S08-SS04-T01,SRC001-S08-SS04,27,subsection,3,6,1. 激素类药物注射,1,1. 激素类药物注射,included,,auto_text
